"","Country.Name","population"
"2","Afghanistan","31,627,506.0"
"3","Albania","2,894,475.0"
"4","Algeria","38,934,334.0"
"5","American Samoa","55,434.0"
"6","Andorra","72,786.0"
"7","Angola","24,227,524.0"
"8","Antigua and Barbuda","90,900.0"
"9","Argentina","42,980,026.0"
"10","Armenia","3,006,154.0"
"11","Aruba","103,441.0"
"12","Australia","23,490,736.0"
"13","Austria","8,534,492.0"
"14","Azerbaijan","9,537,823.0"
"15","Bahamas, The","383,054.0"
"16","Bahrain","1,361,930.0"
"17","Bangladesh","159,077,513.0"
"18","Barbados","283,380.0"
"19","Belarus","9,470,000.0"
"20","Belgium","11,225,207.0"
"21","Belize","351,706.0"
"22","Benin","10,598,482.0"
"23","Bermuda","65,181.0"
"24","Bhutan","765,008.0"
"25","Bolivia","10,561,887.0"
"26","Bosnia and Herzegovina","3,817,554.0"
"27","Botswana","2,219,937.0"
"28","Brazil","206,077,898.0"
"29","Brunei Darussalam","417,394.0"
"30","Bulgaria","7,223,938.0"
"31","Burkina Faso","17,589,198.0"
"32","Burundi","10,816,860.0"
"33","Cabo Verde","513,906.0"
"34","Cambodia","15,328,136.0"
"35","Cameroon","22,773,014.0"
"36","Canada","35,540,419.0"
"37","Cayman Islands","59,172.0"
"38","Central African Republic","4,804,316.0"
"39","Chad","13,587,053.0"
"40","Channel Islands","162,917.0"
"41","Chile","17,762,647.0"
"42","China","1,364,270,000.0"
"43","Colombia","47,791,393.0"
"44","Comoros","769,991.0"
"45","Congo, Dem. Rep.","74,877,030.0"
"46","Congo, Rep.","4,504,962.0"
"47","Costa Rica","4,757,606.0"
"48","Cote d'Ivoire","22,157,107.0"
"49","Croatia","4,238,389.0"
"50","Cuba","11,379,111.0"
"51","Curacao","155,872.0"
"52","Cyprus","1,153,658.0"
"53","Czech Republic","10,510,566.0"
"54","Denmark","5,639,565.0"
"55","Djibouti","876,174.0"
"56","Dominica","72,341.0"
"57","Dominican Republic","10,405,943.0"
"58","Ecuador","15,902,916.0"
"59","Egypt, Arab Rep.","89,579,670.0"
"60","El Salvador","6,107,706.0"
"61","Equatorial Guinea","820,885.0"
"62","Eritrea","5,110,444.0"
"63","Estonia","1,313,645.0"
"64","Ethiopia","96,958,732.0"
"65","Faeroe Islands","48,221.0"
"66","Fiji","886,450.0"
