Country Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
World,"6,595,442,749.0","6,676,522,231.0","6,758,952,701.0","6,841,568,979.0","6,924,282,937.0","7,007,470,801.0","7,089,309,348.0","7,174,521,359.0","7,260,710,677.0",..
Afghanistan,"25,183,615.0","25,877,544.0","26,528,741.0","27,207,291.0","27,962,207.0","28,809,167.0","29,726,803.0","30,682,500.0","31,627,506.0",..
Albania,"2,992,547.0","2,970,017.0","2,947,314.0","2,927,519.0","2,913,021.0","2,904,780.0","2,900,489.0","2,897,366.0","2,894,475.0",..
Algeria,"33,749,328.0","34,261,971.0","34,811,059.0","35,401,790.0","36,036,159.0","36,717,132.0","37,439,427.0","38,186,135.0","38,934,334.0",..
American Samoa,"58,648.0","57,904.0","57,031.0","56,226.0","55,636.0","55,316.0","55,227.0","55,302.0","55,434.0",..
Andorra,"83,373.0","84,878.0","85,616.0","85,474.0","84,419.0","82,326.0","79,316.0","75,902.0","72,786.0",..
Angola,"18,541,467.0","19,183,907.0","19,842,251.0","20,520,103.0","21,219,954.0","21,942,296.0","22,685,632.0","23,448,202.0","24,227,524.0",..
Antigua and Barbuda,"83,467.0","84,397.0","85,350.0","86,300.0","87,233.0","88,152.0","89,069.0","89,985.0","90,900.0",..
Argentina,"39,558,750.0","39,969,903.0","40,381,860.0","40,798,641.0","41,222,875.0","41,655,616.0","42,095,224.0","42,538,304.0","42,980,026.0",..
Armenia,"3,002,161.0","2,988,117.0","2,975,029.0","2,966,108.0","2,963,496.0","2,967,984.0","2,978,339.0","2,992,192.0","3,006,154.0",..
Aruba,"100,830.0","101,218.0","101,342.0","101,416.0","101,597.0","101,936.0","102,393.0","102,921.0","103,441.0",..
Australia,"20,697,900.0","20,827,600.0","21,249,200.0","21,691,700.0","22,031,750.0","22,340,024.0","22,728,254.0","23,125,868.0","23,490,736.0",..
Austria,"8,268,641.0","8,295,487.0","8,321,496.0","8,343,323.0","8,363,404.0","8,391,643.0","8,429,991.0","8,479,375.0","8,534,492.0",..
