Country,LFPrate,HDIrank,literacyRate,developState,state
Malawi,84.5,173,46.257,Low Human Development,dark
Jordan,15.8,80,84.75,High Human Development,dark
Afghanistan,15.9,171,11.3,Low Human Development,dark
Saudi Arabia,20.4,39,73.568,High Human Development,dark
Lebanon,23.7,67,85.968,High Human Development,dark
Samoa,23.7,105,98.239,High Human Development,dark
Pakistan,24.8,147,36.139,Low Human Development,dark
India,27,130,43.47,Medium Human Development,dark
Sri Lanka,35.1,73,87.856,High Human Development,dark
Niger,40.1,188,11.141,Low Human Development,dark
Malaysia,44.5,62,78.658,High Human Development,dark
South Africa,44.7,116,87.271,Medium Human Development,dark
United Arab Emirates,46.4,41,66.087,High Human Development,dark
Nigeria,48.3,152,42.813,Low Human Development,dark
Japan,48.7,20,99,High Human Development,dark
France,50.6,22,99,High Human Development,dark
Mali,50.9,179,16.107,Low Human Development,dark
Indonesia,51.4,110,82.486,Medium Human Development,dark
Spain,52.5,26,96.177,High Human Development,dark
Solomon Islands,53.4,156,69,Low Human Development,dark
Portugal,54.9,43,84.042,High Human Development,dark
United States,56.3,8,99,High Human Development,dark
Bangladesh,57.6,142,35.215,Medium Human Development,dark
Liberia,58.3,177,25.832,Low Human Development,dark
Singapore,58.6,11,88.926,High Human Development,dark
Australia,58.7,2,99,High Human Development,dark
Canada,61.4,9,99,High Human Development,dark
Chad,64,185,16.125,Low Human Development,dark
China,64,90,74.612,High Human Development,dark
Thailand,64.2,93,90.591,High Human Development,dark
Guinea,65.7,182,13.391,Low Human Development,dark
Ghana,67.5,140,57.543,Medium Human Development,dark
Benin,67.7,166,16.962,Low Human Development,dark
Korea,72.2,17,99.998,High Human Development,dark
Central African Republic,72.6,187,22.096,Low Human Development,dark
Ethiopia,78.3,174,22.053,Low Human Development,dark
Nepal,79.9,145,27.565,Medium Human Development,dark
Zimbabwe,83.6,155,76.812,Low Human Development,dark
Mozambique,85.3,180,26.689,Low Human Development,dark
Rwanda,86.2,163,53.134,Low Human Development,dark
Madagascar,86.4,154,63.46,Low Human Development,dark
Burundi,83.4,184,44.086,Low Human Development,light
Algeria,15.4,83,53.278,High Human Development,light
Iraq,15,121,68.442,Medium Human Development,light
Burkina Faso,77,183,12.735,Low Human Development,light
Sweden,60.2,14,99,High Human Development,light
United Kingdom,55.8,14,99,High Human Development,light
Norway,61.2,1,100,High Human Development,light
Honduras,43.1,131,84.385,Medium Human Development,light
Kuwait,43.8,48,80.456,High Human Development,light
Greece,44.1,29,91.365,High Human Development,light
Colombia,56,97,91.725,High Human Development,light
Maldives,56.6,104,93.666,High Human Development,light
New Zealand,61.9,9,99,High Human Development,light
Timor-Leste,24.5,133,41.82,Medium Human Development,light
Tunisia,25.2,96,61.726,High Human Development,light
Morocco,26.7,126,38.335,Medium Human Development,light
Mauritania,28.9,156,39.383,Low Human Development,light
Turkey,29.3,72,76.685,High Human Development,light
Oman,29.3,52,81.283,High Human Development,light
Libya,30,94,66.544,High Human Development,light
Sudan,31.4,167,59.274,Low Human Development,light
Bosnia and Herzegovina,34.2,85,95.732,High Human Development,light
Comoros,35.4,159,58.597,Low Human Development,light
Djibouti,36.5,168,58.4,Low Human Development,light
Fiji,37.5,90,91.9,High Human Development,light
Malta,37.8,37,91.457,High Human Development,light
Bahrain,39.1,45,77.673,High Human Development,light
Italy,39.7,27,97.482,High Human Development,light
Suriname,40.5,103,91.655,High Human Development,light
Guyana,42.9,124,87.252,Medium Human Development,light
Montenegro,42.9,49,97.501,High Human Development,light
Cuba,43.5,67,99.795,High Human Development,light
Mauritius,43.7,63,80.606,High Human Development,light
Swaziland,44.1,150,70.416,Low Human Development,light
Serbia,44.6,66,96.749,High Human Development,light
Croatia,44.7,47,96.856,High Human Development,light
Albania,44.8,85,96.19,High Human Development,light
Hungary,44.9,44,98.744,High Human Development,light
Mexico,45.1,74,89.795,High Human Development,light
Sao Tome and Principe,45.6,143,60.579,Medium Human Development,light
